contract_id,department,vendor,approved_budget,contract_value,deviation_flag,mbd_submitted,project_phase,status,risk_score,irregular_flag,irregular_amount
C0068,Water & Sanitation,Fry-Griffin,27757342,26746452,Y,Y,Execution,Cancelled,2,Y,0
C0069,Roads & Transport,"Crawford, Olsen and Smith",1143233,957514,Y,Y,Planning,On track,1,Y,0
C0070,Electricity,Frye-Weaver,7574447,8050459,N,Y,Execution,On track,1,Y,476012
C0071,Housing,"Odom, Anthony and Lopez",3712610,3498723,N,N,Execution,Delayed,2,Y,0
C0072,Electricity,Henderson-Miller,28866157,36813748,N,Y,Execution,Cancelled,2,Y,7947591
C0073,Water & Sanitation,Fry-Griffin,14940260,12536875,N,Y,Completed,Cancelled,1,N,0
C0074,Water & Sanitation,Harris Inc,5798848,6146253,Y,Y,Planning,On track,2,Y,347405
C0075,Housing,"Gomez, Gentry and Anthony",46887763,49248278,N,Y,Execution,On track,1,Y,2360515
C0076,Housing,Fry-Griffin,10595300,11086291,N,Y,Planning,Delayed,2,Y,490991
C0077,Water & Sanitation,Clark-Ward,33703547,39638475,N,Y,Execution,Delayed,2,Y,5934928
C0078,Roads & Transport,Moyer-Robinson,11538459,12974785,N,Y,Completed,Cancelled,2,Y,1436326
C0079,Waste Management,"Cunningham, Fisher and Smith",34145504,39681864,Y,N,Completed,Delayed,4,Y,5536360
C0080,Electricity,Williams-Moore,30285054,24700043,N,Y,Execution,On track,0,N,0
C0081,Water & Sanitation,"Lee, Roberts and Lee",27912615,29940339,N,Y,Completed,Cancelled,2,Y,2027724
C0082,Water & Sanitation,Lane PLC,37852003,35555697,N,N,Execution,On track,1,Y,0
C0083,Water & Sanitation,"Lee, Roberts and Lee",28472244,29018590,N,Y,Execution,Cancelled,2,Y,546346
C0084,Waste Management,Berg-Alvarez,26428752,22492873,N,Y,Planning,Cancelled,1,N,0
C0085,Water & Sanitation,"Odom, Anthony and Lopez",33349942,38131159,N,Y,Planning,Cancelled,2,Y,4781217
C0086,Water & Sanitation,"Sherman, Freeman and Tyler",19611512,18652343,N,Y,Planning,Delayed,1,N,0
C0087,Water & Sanitation,Leonard-Reynolds,32525301,27321056,Y,Y,Planning,Cancelled,2,Y,0
C0088,Waste Management,Reed-White,14673458,21356497,N,Y,Completed,On track,1,Y,6683039
C0089,Housing,"Cunningham, Fisher and Smith",47077874,39230640,Y,Y,Completed,Cancelled,2,Y,0
C0090,Waste Management,"Baker, Bonilla and Kim",29426259,32396834,N,Y,Execution,On track,1,Y,2970575
C0091,Roads & Transport,Holt and Sons,38987092,32087293,N,Y,Execution,Delayed,1,N,0
C0092,Electricity,"Cunningham, Fisher and Smith",30873482,36661048,N,Y,Completed,Delayed,2,Y,5787566
C0093,Housing,"Baker, Bonilla and Kim",32285232,26914348,N,N,Planning,On track,1,Y,0
C0094,Housing,"Wood, Beck and Wallace",40301137,34604246,N,Y,Completed,On track,0,N,0
C0095,Water & Sanitation,Frye-Weaver,13759783,13047808,N,Y,Planning,Cancelled,1,N,0
C0096,Roads & Transport,"Castro, Trevino and Young",7083896,6659480,N,Y,Execution,On track,0,N,0
C0097,Electricity,"Fowler, Nelson and Oliver",12931595,12539622,N,N,Execution,On track,1,Y,0
C0098,Housing,Frye-Weaver,35533922,34186505,N,Y,Completed,Delayed,1,N,0
C0099,Waste Management,Johnson-Wilson,6842471,7250857,N,Y,Completed,On track,1,Y,408386
C0100,Waste Management,Welch-Gibson,38958941,38611659,Y,Y,Completed,On track,1,Y,0
C0101,Electricity,Palmer and Sons,43468581,51778046,N,Y,Planning,On track,1,Y,8309465
C0102,Waste Management,"Sutton, Brown and Gibson",11989876,9945825,N,Y,Execution,Delayed,1,N,0
C0103,Waste Management,"Finley, Burch and Reed",32195633,28548628,N,Y,Completed,Delayed,1,N,0
C0104,Electricity,"Sherman, Freeman and Tyler",40580309,47091955,Y,Y,Completed,Delayed,3,Y,6511646
C0105,Waste Management,"Gomez, Gentry and Anthony",47296943,46458022,N,Y,Execution,On track,0,N,0
C0106,Water & Sanitation,Lawrence-Coleman,2767867,2644163,N,Y,Execution,Delayed,1,N,0
C0107,Water & Sanitation,"Mathis, Bailey and Lyons",4266500,5096267,N,Y,Execution,On track,1,Y,829767
C0108,Roads & Transport,Berg-Alvarez,21388948,22969430,Y,Y,Completed,Delayed,3,Y,1580482
C0109,Waste Management,Guzman-Miller,43209628,41768829,N,Y,Execution,Cancelled,1,N,0
C0110,Water & Sanitation,Miller PLC,19957417,22879692,Y,N,Planning,Cancelled,4,Y,2922275
C0111,Electricity,Frye-Weaver,6385088,6334952,N,Y,Planning,Delayed,1,N,0
C0112,Waste Management,Jimenez-Roberts,25401054,28745501,N,N,Planning,Delayed,3,Y,3344447
C0113,Electricity,Reed-White,24030984,21852883,Y,Y,Execution,Delayed,2,Y,0
C0114,Water & Sanitation,Rose LLC,1822320,2004486,N,Y,Planning,Cancelled,2,Y,182166
C0115,Electricity,"Cunningham, Fisher and Smith",31757524,36199098,N,Y,Planning,Delayed,2,Y,4441574
C0116,Waste Management,Gonzalez PLC,17964557,16345819,N,Y,Completed,Cancelled,1,N,0
C0117,Electricity,Holt and Sons,30161031,28449847,Y,Y,Planning,On track,1,Y,0
C0118,Housing,Reeves PLC,20212033,22891109,N,Y,Planning,Cancelled,2,Y,2679076
C0119,Roads & Transport,Gonzalez PLC,44266109,42557133,Y,N,Completed,Cancelled,3,Y,0
C0120,Electricity,"Long, Haney and Perry",22164334,23399874,N,Y,Planning,Cancelled,2,Y,1235540
C0121,Water & Sanitation,Clark-Ward,33981791,50309023,N,Y,Planning,Delayed,2,Y,16327232
C0122,Electricity,Williams-Moore,32943745,33128091,N,Y,Execution,Delayed,2,Y,184346
C0123,Roads & Transport,Clark-Cruz,34362121,40540713,Y,Y,Planning,On track,2,Y,6178592
C0124,Electricity,Contreras and Sons,33348585,27562418,Y,Y,Execution,Delayed,2,Y,0
C0125,Water & Sanitation,Richardson Inc,15834209,16679127,N,N,Execution,Delayed,3,Y,844918
C0126,Waste Management,Contreras and Sons,16763288,17331671,N,Y,Completed,Cancelled,2,Y,568383
C0127,Roads & Transport,Reeves PLC,35285539,33107253,N,Y,Planning,Delayed,1,N,0
C0128,Electricity,"Lee, Roberts and Lee",48666364,50650694,N,Y,Execution,On track,1,Y,1984330
C0129,Water & Sanitation,"Chavez, Reed and Cox",5823601,5071216,Y,N,Execution,Delayed,3,Y,0
C0130,Roads & Transport,Moyer-Robinson,32972680,38172039,Y,Y,Completed,Cancelled,3,Y,5199359
C0131,Water & Sanitation,Clark-Ward,39110202,71944324,N,N,Completed,On track,2,Y,32834122
C0132,Roads & Transport,Reed-White,3225354,2659082,N,Y,Completed,Delayed,1,N,0
C0133,Water & Sanitation,"Clark, Lucas and Abbott",15252994,13479676,N,Y,Completed,Cancelled,1,N,0
C0134,Electricity,"Fowler, Nelson and Oliver",38238329,38716549,N,N,Execution,On track,2,Y,478220
C0135,Roads & Transport,"Wood, Beck and Wallace",30654810,33270886,N,Y,Execution,Cancelled,2,Y,2616076
C0136,Water & Sanitation,Martin LLC,3808654,7212722,N,Y,Execution,Cancelled,2,Y,3404068
C0137,Roads & Transport,"Cunningham, Fisher and Smith",47856479,45507379,Y,Y,Execution,Delayed,2,Y,0
C0138,Housing,"Heath, Caldwell and Cruz",35847046,58368614,N,Y,Execution,Cancelled,2,Y,22521568
C0139,Electricity,Williams-Moore,22519480,25124274,N,N,Execution,Cancelled,3,Y,2604794
C0140,Housing,"Sherman, Freeman and Tyler",25253646,25836927,N,Y,Completed,On track,1,Y,583281
C0141,Waste Management,Leonard-Reynolds,16303305,15410420,N,Y,Execution,Delayed,1,N,0
C0142,Waste Management,"Mathis, Bailey and Lyons",9292300,10904297,Y,Y,Execution,Delayed,3,Y,1611997
C0143,Electricity,Moyer-Robinson,25791717,22291073,Y,Y,Completed,Cancelled,2,Y,0
C0144,Roads & Transport,Vargas Inc,6536446,12248327,Y,N,Execution,Delayed,4,Y,5711881
C0145,Electricity,Sanchez-Jenkins,40736644,34414950,N,Y,Execution,Cancelled,1,N,0
C0146,Electricity,"Cunningham, Fisher and Smith",26437283,52347240,N,Y,Planning,Delayed,2,Y,25909957
C0147,Waste Management,"Cunningham, Fisher and Smith",36012253,36829916,N,Y,Completed,Cancelled,2,Y,817663
C0148,Roads & Transport,Harris Inc,16712651,19841219,N,Y,Planning,Cancelled,2,Y,3128568
C0149,Roads & Transport,Clark-Cruz,8140979,6886736,N,Y,Planning,On track,0,N,0
C0150,Water & Sanitation,Reed-White,13471172,15799067,N,Y,Planning,Delayed,2,Y,2327895
C0151,Waste Management,Richardson Inc,42428965,36224402,Y,Y,Planning,Delayed,2,Y,0
C0152,Housing,Lawrence-Coleman,42421932,35428559,Y,N,Completed,On track,2,Y,0
C0153,Housing,"Gomez, Gentry and Anthony",31543720,31185082,N,Y,Execution,On track,0,N,0
C0154,Electricity,Johnson-Wilson,32974288,36218621,N,Y,Completed,On track,1,Y,3244333
C0155,Water & Sanitation,Richardson Inc,28251242,24649017,Y,Y,Execution,On track,1,Y,0
C0156,Electricity,"Heath, Caldwell and Cruz",5338331,4569125,N,Y,Completed,Delayed,1,N,0
C0157,Water & Sanitation,Jimenez-Roberts,31908285,27905773,N,Y,Planning,On track,0,N,0
C0158,Housing,"Castro, Trevino and Young",7041245,8103629,N,Y,Execution,Cancelled,2,Y,1062384
C0159,Waste Management,Jimenez-Roberts,7121862,8260412,N,Y,Completed,Delayed,2,Y,1138550
C0160,Housing,"Wood, Beck and Wallace",5445854,4862521,N,Y,Completed,Cancelled,1,N,0
C0161,Housing,Jimenez-Roberts,17791444,18675593,Y,Y,Execution,On track,2,Y,884149
C0162,Housing,Gutierrez-Sanchez,11730982,12639981,Y,Y,Execution,On track,2,Y,908999
C0163,Roads & Transport,Richardson Inc,47553472,55045855,N,Y,Completed,Delayed,2,Y,7492383
C0164,Electricity,"Long, Haney and Perry",16659100,18284670,Y,Y,Execution,On track,2,Y,1625570
C0165,Roads & Transport,Holt and Sons,41359524,38746954,N,N,Execution,Delayed,2,Y,0
C0166,Roads & Transport,Frye-Weaver,11706243,12193025,N,Y,Planning,On track,1,Y,486782
C0167,Electricity,Clark-Cruz,8614716,9380573,N,Y,Execution,Cancelled,2,Y,765857
C0168,Electricity,Guzman-Miller,27795858,30199411,N,Y,Planning,On track,1,Y,2403553
C0169,Housing,Gonzalez PLC,25654173,26509912,N,Y,Execution,Cancelled,2,Y,855739
C0170,Housing,Gonzalez PLC,42119117,49057860,Y,N,Planning,On track,3,Y,6938743
C0171,Housing,Clark-Ward,25936512,49219696,N,Y,Completed,Cancelled,2,Y,23283184
C0172,Water & Sanitation,Mcconnell Ltd,39402467,31884832,N,Y,Completed,Delayed,1,N,0
C0173,Housing,"Mathis, Bailey and Lyons",27680296,30298234,N,Y,Execution,Delayed,2,Y,2617938
C0174,Housing,Gonzalez PLC,16691661,14458453,Y,Y,Completed,Cancelled,2,Y,0
C0175,Waste Management,"Chavez, Reed and Cox",17371808,17502708,N,Y,Planning,Delayed,2,Y,130900
C0176,Electricity,"Long, Haney and Perry",33972840,29971923,N,Y,Execution,Delayed,1,N,0
C0177,Water & Sanitation,Clark-Ward,21112258,21428060,N,Y,Execution,Cancelled,2,Y,315802
C0178,Housing,Martin LLC,13857649,16177168,N,N,Planning,Delayed,3,Y,2319519
C0179,Electricity,"Wood, Beck and Wallace",28015002,24388594,N,Y,Completed,On track,0,N,0
C0180,Housing,"Lee, Roberts and Lee",37019127,41172609,N,Y,Completed,Cancelled,2,Y,4153482
C0181,Water & Sanitation,Harris Inc,41141777,35843308,N,N,Completed,Delayed,2,Y,0
C0182,Electricity,Vargas Inc,36066581,36572518,Y,Y,Planning,On track,2,Y,505937
C0183,Roads & Transport,Clark-Ward,19755820,19177281,N,Y,Execution,On track,0,N,0
C0184,Housing,"Baker, Bonilla and Kim",13791164,13116643,N,Y,Execution,Delayed,1,N,0
C0185,Roads & Transport,Mcconnell Ltd,42631405,43102869,N,Y,Execution,Delayed,2,Y,471464
C0186,Water & Sanitation,Rogers Inc,39748899,45501131,N,Y,Planning,Cancelled,2,Y,5752232
C0187,Waste Management,Fry-Griffin,22088809,22323643,N,Y,Execution,On track,1,Y,234834
C0188,Water & Sanitation,Richardson Inc,32822310,26613589,N,Y,Completed,On track,0,N,0
C0189,Water & Sanitation,Holt and Sons,176218,182917,N,Y,Planning,On track,1,Y,6699
C0190,Waste Management,"Sutton, Brown and Gibson",42390779,35598782,N,Y,Planning,On track,0,N,0
C0191,Housing,"Cunningham, Fisher and Smith",42942925,41176829,N,Y,Planning,Cancelled,1,N,0
C0192,Electricity,Vargas Inc,49449430,39816719,Y,Y,Completed,Delayed,2,Y,0
C0193,Roads & Transport,Berg-Alvarez,46946098,54015130,N,Y,Completed,Cancelled,2,Y,7069032
C0194,Water & Sanitation,Richardson Inc,18886176,17691189,N,Y,Planning,Delayed,1,N,0
C0195,Water & Sanitation,"Lee, Roberts and Lee",12890902,13531058,N,Y,Planning,Delayed,2,Y,640156
C0196,Waste Management,"Sherman, Freeman and Tyler",7371476,8693781,N,N,Execution,Delayed,3,Y,1322305
C0197,Electricity,Henderson-Miller,39154025,46755658,N,Y,Completed,Cancelled,2,Y,7601633
C0198,Electricity,"Crawford, Olsen and Smith",1832465,2592831,N,Y,Completed,Delayed,2,Y,760366
C0199,Waste Management,Miller PLC,33977350,35948772,N,N,Completed,On track,2,Y,1971422
C0200,Roads & Transport,Frye-Weaver,42823356,38923130,Y,Y,Execution,Cancelled,2,Y,0
C0201,Roads & Transport,Henderson-Miller,36074996,36047445,Y,Y,Completed,Cancelled,2,Y,0
C0202,Roads & Transport,"Mathis, Bailey and Lyons",7044121,5935598,Y,Y,Execution,Delayed,2,Y,0
C0203,Water & Sanitation,Moyer-Robinson,3851198,4001260,N,Y,Execution,Cancelled,2,Y,150062
C0204,Housing,Guzman-Miller,15116390,17160772,N,Y,Planning,Delayed,2,Y,2044382
C0205,Electricity,Martin LLC,791757,1055433,N,N,Completed,Cancelled,3,Y,263676
C0206,Roads & Transport,"Wood, Beck and Wallace",40481731,33490531,N,Y,Completed,Delayed,1,N,0
C0207,Housing,Moyer-Robinson,39887171,36650274,N,Y,Completed,Cancelled,1,N,0
C0208,Roads & Transport,"Baker, Bonilla and Kim",31973646,27305510,N,Y,Planning,On track,0,N,0
C0209,Roads & Transport,Gutierrez-Sanchez,37005710,38413080,Y,Y,Planning,Delayed,3,Y,1407370
C0210,Waste Management,"Wood, Beck and Wallace",13383692,14043949,N,Y,Completed,Delayed,2,Y,660257
C0211,Roads & Transport,Reeves PLC,33558471,33497949,N,Y,Execution,Delayed,1,N,0
C0212,Electricity,"Gomez, Gentry and Anthony",28456738,34201342,N,N,Planning,Delayed,3,Y,5744604
C0213,Roads & Transport,Paul-Rosales,40231083,33658644,N,N,Execution,Cancelled,2,Y,0
C0214,Roads & Transport,Jimenez-Roberts,13243608,11575617,N,Y,Planning,Cancelled,1,N,0
C0215,Electricity,Harris Inc,41701684,45439878,N,Y,Planning,Cancelled,2,Y,3738194
C0216,Housing,"Gomez, Gentry and Anthony",21789432,23473103,Y,Y,Completed,On track,2,Y,1683671
C0217,Housing,Johnson-Wilson,10623401,12745333,N,Y,Completed,Delayed,2,Y,2121932
C0218,Housing,Reeves PLC,1624102,2855067,N,Y,Planning,Delayed,2,Y,1230965
C0219,Electricity,Contreras and Sons,10013841,11196843,N,N,Completed,On track,2,Y,1183002
C0220,Roads & Transport,"Cunningham, Fisher and Smith",8770178,9924036,Y,Y,Completed,Delayed,3,Y,1153858
C0221,Housing,Jimenez-Roberts,48456322,48089253,N,Y,Completed,Delayed,1,N,0
C0222,Housing,Lane PLC,15270521,12615626,N,Y,Completed,Delayed,1,N,0
C0223,Roads & Transport,"Heath, Caldwell and Cruz",40786940,44667503,N,Y,Execution,Delayed,2,Y,3880563
C0224,Roads & Transport,Palmer and Sons,7252747,5872986,N,N,Planning,On track,1,Y,0
C0225,Electricity,"Baker, Bonilla and Kim",38599601,43212766,N,Y,Planning,Cancelled,2,Y,4613165
C0226,Waste Management,Mcconnell Ltd,6814301,8382117,N,Y,Completed,On track,1,Y,1567816
C0227,Electricity,"Finley, Burch and Reed",26135947,28940578,N,Y,Completed,Delayed,2,Y,2804631
C0228,Roads & Transport,Martin LLC,13875236,11118761,N,Y,Completed,Cancelled,1,N,0
C0229,Waste Management,"Parker, Abbott and Taylor",39063185,34900733,Y,N,Planning,On track,2,Y,0
C0230,Roads & Transport,Clark-Cruz,14476941,18640133,N,N,Execution,On track,2,Y,4163192
C0231,Roads & Transport,"Mathis, Bailey and Lyons",14233434,15863703,Y,Y,Completed,Cancelled,3,Y,1630269
C0232,Electricity,"Long, Haney and Perry",17787991,18505191,N,Y,Planning,On track,1,Y,717200
C0233,Waste Management,"Parker, Abbott and Taylor",38659430,34510062,N,Y,Completed,On track,0,N,0
C0234,Housing,"Crawford, Olsen and Smith",10912658,9737014,Y,Y,Planning,Cancelled,2,Y,0
C0235,Roads & Transport,Rogers Inc,17903769,16830439,Y,Y,Execution,Delayed,2,Y,0
C0236,Roads & Transport,"Odom, Anthony and Lopez",37835088,39307237,N,Y,Planning,Delayed,2,Y,1472149
C0237,Housing,Miller PLC,35483985,42528773,N,Y,Planning,Delayed,2,Y,7044788
C0238,Housing,Henderson-Miller,21865239,17797125,N,Y,Completed,Cancelled,1,N,0
C0239,Water & Sanitation,"Sutton, Brown and Gibson",18598826,16855000,Y,Y,Planning,Cancelled,2,Y,0
C0240,Roads & Transport,Harris Inc,10951224,8916146,N,Y,Planning,On track,0,N,0
C0241,Waste Management,Mcconnell Ltd,3697706,5645519,N,Y,Execution,Cancelled,2,Y,1947813
C0242,Waste Management,"Wood, Beck and Wallace",20157988,32778541,N,N,Planning,Cancelled,3,Y,12620553
C0243,Housing,Gutierrez-Sanchez,16656827,31330917,N,Y,Execution,Delayed,2,Y,14674090
C0244,Waste Management,Moyer-Robinson,1232658,1157618,N,Y,Execution,Cancelled,1,N,0
C0245,Waste Management,Fry-Griffin,6126988,6179092,N,Y,Completed,Cancelled,2,Y,52104
C0246,Water & Sanitation,Mcconnell Ltd,4784346,5183098,N,Y,Planning,Cancelled,2,Y,398752
C0247,Electricity,Palmer and Sons,35601225,38434950,Y,Y,Completed,On track,2,Y,2833725
C0248,Electricity,Holt and Sons,35277004,28634305,N,N,Planning,Cancelled,2,Y,0
C0249,Water & Sanitation,Berg-Alvarez,30138378,35065415,Y,Y,Planning,Delayed,3,Y,4927037
C0250,Housing,"Heath, Caldwell and Cruz",28600556,22953500,N,Y,Completed,Delayed,1,N,0
C0251,Roads & Transport,Reed-White,29363888,27915606,Y,Y,Planning,Delayed,2,Y,0
C0252,Roads & Transport,"Heath, Caldwell and Cruz",14912143,16469137,N,Y,Execution,On track,1,Y,1556994
C0253,Electricity,Palmer and Sons,6655035,7805099,Y,Y,Completed,Cancelled,3,Y,1150064
C0254,Electricity,Moyer-Robinson,1756671,2070973,Y,Y,Planning,Cancelled,3,Y,314302
C0255,Electricity,Johnson-Wilson,23494704,22046331,N,N,Planning,Delayed,2,Y,0
C0256,Electricity,Henderson-Miller,24896429,29565782,N,N,Planning,On track,2,Y,4669353
C0257,Roads & Transport,"Chavez, Reed and Cox",35590172,29406395,N,Y,Completed,Cancelled,1,N,0
C0258,Roads & Transport,Gutierrez-Sanchez,27096639,29083314,N,Y,Planning,Delayed,2,Y,1986675
C0259,Roads & Transport,"Heath, Caldwell and Cruz",29321379,28751219,Y,Y,Execution,Delayed,2,Y,0
C0260,Waste Management,Frye-Weaver,26652476,30276649,N,Y,Execution,Delayed,2,Y,3624173
C0261,Water & Sanitation,"Chavez, Reed and Cox",27309162,32234244,Y,Y,Planning,Delayed,3,Y,4925082
C0262,Roads & Transport,"Chavez, Reed and Cox",26367668,30136768,N,Y,Execution,On track,1,Y,3769100
C0263,Water & Sanitation,Clark-Cruz,20710500,19959404,N,Y,Completed,Cancelled,1,N,0
C0264,Waste Management,Reeves PLC,42962524,49288718,N,Y,Completed,Delayed,2,Y,6326194
C0265,Waste Management,Reed-White,12050571,14307370,Y,Y,Planning,Delayed,3,Y,2256799
C0266,Waste Management,Johnson-Wilson,47223764,46349059,N,N,Execution,Delayed,2,Y,0
C0267,Electricity,"Lee, Roberts and Lee",26921567,31356475,N,Y,Execution,Cancelled,2,Y,4434908
C0268,Housing,Harris Inc,38635694,32721468,Y,Y,Execution,Delayed,2,Y,0
C0269,Housing,Paul-Rosales,36310403,32324103,Y,Y,Execution,Cancelled,2,Y,0
C0270,Water & Sanitation,Berg-Alvarez,14567188,14178225,N,N,Execution,Delayed,2,Y,0
C0271,Housing,"Parker, Abbott and Taylor",49378740,74759157,N,Y,Completed,Delayed,2,Y,25380417
C0272,Waste Management,Reed-White,44821695,49430427,N,Y,Execution,On track,1,Y,4608732
